kind	artifact_id	priority	recommended_action	size_gib	local_path	source_path	source_exists	hf_repo_id	hf_private	hf_commit_url	upload_uploaded	upload_verified	has_upload_log	notes
local_hf_dir	QwenJoint-4B-Stage2-CODE-S2-KODCODE-INSTRUCT2507-CTX8K-P60-BETA0-BETA0-V1-ONPOLICY-SFT-Qwen3-4B-INSTRUCT2507-CODE-KODCODE-CTX8K-S1-BETA0-V1-step_60	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-CODE-S2-KODCODE-INSTRUCT2507-CTX8K-P60-BETA0-BETA0-V1-ONPOLICY-SFT-Qwen3-4B-INSTRUCT2507-CODE-KODCODE-CTX8K-S1-BETA0-V1-step_60								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-CODE-S2-RETENTION-BETA0-BETA0-ONPOLICY-SFT-Qwen3-4B-CODE-KODCODE-S1-BETA0-V2-RETENTION-R2-step_70	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-CODE-S2-RETENTION-BETA0-BETA0-ONPOLICY-SFT-Qwen3-4B-CODE-KODCODE-S1-BETA0-V2-RETENTION-R2-step_70								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-CODE-S2-RETENTION-BETA01-BETA01-ONPOLICY-SFT-Qwen3-4B-CODE-KODCODE-S1-BETA01-V2-RETENTION-R2-step_70	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-CODE-S2-RETENTION-BETA01-BETA01-ONPOLICY-SFT-Qwen3-4B-CODE-KODCODE-S1-BETA01-V2-RETENTION-R2-step_70								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda06	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda06								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda07	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda07								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda08	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda08								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda09	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_s2_lambda09								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_both_on_lambda08	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_both_on_lambda08								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_model1_lambda08	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_model1_lambda08								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_model2_lambda08	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b01_subkl_model2_lambda08								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p40_b0_s2	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p40_b0_s2								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p60_b01_s2	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p60_b01_s2								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-kod_i2507_p60_b0_s2	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-kod_i2507_p60_b0_s2								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-model2-from-s1-p60-beta0-step60	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-model2-from-s1-p60-beta0-step60								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-model2-from-s1-p60-beta01-step60	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-model2-from-s1-p60-beta01-step60								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-subkl_both_off_p40_b01	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-subkl_both_off_p40_b01								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-subkl_both_on_kl_p40_b01	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-subkl_both_on_kl_p40_b01								False	local HF-format directory discovered by config.json + weights
local_hf_dir	QwenJoint-4B-Stage2-subkl_both_on_low_var_kl_p40_b01	P1_PUBLIC_UPLOAD	important code-task artifact without complete upload proof	16.45	/data-1/.cache/huggingface/QwenJoint-4B-Stage2-subkl_both_on_low_var_kl_p40_b01								False	local HF-format directory discovered by config.json + weights
